Set_Number,Start_Code_Point,End_Code_Point,Script_Name,Author,Status,Description,Flags
1,U+EE00,U+EE0F,Franklin Phonetic Alphabet,Benjamin Franklin,Provisional Lease / Pending Upstream Ratification,"Provisional RNUR Lease: Upstream Vacuum. Awaiting UCSUR/SPUCE ratification. Subject to Set 2 Eviction if upstream collision occurs.",NONE
1,U+EE10,U+EE5F,Loopiform,Filipe Dos Reis,Provisional Lease / Pending Upstream Ratification,"Provisional RNUR Lease: Upstream Vacuum. Awaiting UCSUR/SPUCE ratification. Subject to Set 2 Eviction if upstream collision occurs.",NONE
1,U+EE60,U+EE8F,PROVISIONAL_RNUR_OPEN_SLOT,NONE,Provisional Allocation / Open for Submission,"??? Territory: Staked via provisional RNUR ownership under an active upstream vacuum. Defensive zoning macro-allocation complete, awaiting script engineering specifications. Subject to absolute Upstream Authority hierarchy, the Eviction Clause, and automatic clean Set 2 relocation routing to eliminate runtime font rendering script pollution if conflicting native allocations emerge upstream.",NONE
1,U+EE90,U+EEDF,Sulat Hiligaynon,Julius Dalum,Provisional Lease / Pending Upstream Ratification,"Provisional RNUR Lease: Upstream Vacuum. Awaiting UCSUR/SPUCE ratification. Subject to Set 2 Eviction if upstream collision occurs.",NONE
1,U+EEE0,U+EF2F,Western Script,Julius Dalum,Provisional Lease / Pending Upstream Ratification,"Provisional RNUR Lease: Upstream Vacuum. Awaiting UCSUR/SPUCE ratification. Subject to Set 2 Eviction if upstream collision occurs.",NONE
1,U+EF30,U+EF6F,Zurjon,u/Willing_Squirrel_741,Provisional Lease / Pending Upstream Ratification,"Provisional RNUR Lease: Upstream Vacuum. Awaiting UCSUR/SPUCE ratification. Subject to Set 2 Eviction if upstream collision occurs.",NONE
1,U+EF70,U+EFBF,Foldian,u/Willing_Squirrel_741,Provisional Lease / Pending Upstream Ratification,"Provisional RNUR Lease: Upstream Vacuum. Awaiting UCSUR/SPUCE ratification. Subject to Set 2 Eviction if upstream collision occurs.",NONE
1,U+EFC0-U+EFFF,PROVISIONAL_RNUR_OPEN_SLOT,NONE,Provisional Allocation / Open for Submission,"??? Territory: Staked via provisional RNUR ownership under an active upstream vacuum. Defensive zoning macro-allocation complete, awaiting script engineering specifications. Subject to absolute Upstream Authority hierarchy, the Eviction Clause, and automatic clean Set 2 relocation routing to eliminate runtime font rendering script pollution if conflicting native allocations emerge upstream.",NONE
1,U+F5C0,U+F7FF,PROVISIONAL_RNUR_OPEN_SLOT,NONE,Provisional Allocation / Open for Submission,"??? Territory: Staked via provisional RNUR ownership under an active upstream vacuum. Defensive zoning macro-allocation complete, awaiting script engineering specifications. Subject to absolute Upstream Authority hierarchy, the Eviction Clause, and automatic clean Set 2 relocation routing to eliminate runtime font rendering script pollution if conflicting native allocations emerge upstream.",NONE
1,U+F820,U+F87F,PROVISIONAL_RNUR_OPEN_SLOT,NONE,Provisional Allocation / Open for Submission,"??? Territory: Staked via provisional RNUR ownership under an active upstream vacuum. Defensive zoning macro-allocation complete, awaiting script engineering specifications. Subject to absolute Upstream Authority hierarchy, the Eviction Clause, and automatic clean Set 2 relocation routing to eliminate runtime font rendering script pollution if conflicting native allocations emerge upstream.",NONE
